IMO;TYPE;BUILT;GRT;DWT;Engine power;Builder;CLASS;CAT CLASS;FLAG;INSURED VALUE
9962524;UCC;2023;9587;11817;6900;JAPAN;NKK;IACS;PANAMA;18400000
9961544;UCC;2023;9562;11817;6900;JAPAN;LR;IACS;PANAMA;18400000
9961271;UCC;2022;9587;11793;6900;JAPAN;NKK;IACS;PANAMA;18400000
9650066;UCC;2013;20920;23927;14280;SOUTH KOREA;KR;IACS;MSH;15200000
9449857;UCC;2009;17068;21191;15227;CHINA;ABS;IACS;PANAMA;10400000
9396634;Container ship;2008;16162;17350;12540;CHINA;ABS;IACS;PANAMA;13500000
9309150;Container ship;2005;18327;23395;15820;CHINA;NKK;IACS;Malta;10400000
9133599;Oil Tanker;1995;4025;4450;2600;États-Unis;MACOSNAR;NON IACS;PANAMA; 1?700?000 
9297101;Oil Tanker;2004;4064;4531;2690;CHINA;BV;IACS;PANAMA; 3?820?000 
9125346;Oil Tanker;1995;4063;4685;2588;JAPAN;MACOSNAR;NON IACS;PANAMA; 2?000?000 
9459319;Oil Tanker;2008;3686;4999;1765;CHINA;CCS;IACS;Gabon;2974725
9600803;Oil Tanker;2008;4126;5985;2574;CHINA;RINA;IACS;Barbado;5060999
9571064;Oil Tanker;2011;4126;6000;2574;CHINA;CCS;NON IACS;Palau;5600000
9571064;Oil Tanker;2011;4126;6000;2547;CHINA;csc;IACS;PALAU;5600000
9360398;Oil Tanker;2007;5530;6012;2700;CHINA;CCS;IACS;Cook Island;2974725
9555216;Oil Tanker;2010;4568;6174;2610;CHINA;CCS;IACS;Palau;3371355
9211664;Oil Tanker;2001;4357;6712;2610;TURKEY;BV;IACS;PALAU;4?400?000
9409986;Oil Tanker;2008;4688;6790;2610;CHINA;KR;IACS;Panama;5600000
9246487;Oil Tanker;2001;4579;6902;4860;SOUTH KOREA;RINA;IACS;Cook Island;1784835
9466623;Oil Tanker;2007;5058;7072;10400;CHINA;RINA;IACS;Gabon;2582061
9273002;Oil Tanker;2003;5991;7717;3100;JAPAN;CCS;IACS;Cook islands;3966300
9494929;Oil Tanker;2009;5314;8034;3500;CHINA;CCS;IACS;Gabon;3867143
9542910;Oil Tanker;2011;6445;9055;2970;CHINA;BV ;IACS;PALAU; 4?000?000 
9489120;Oil Tanker;2009;6152;9380;2970;CHINA;BV ;IACS;PALAU; 3?600?000 
9277371;Oil Tanker;2003;9993;14803;6300;CHINA;DNV;IACS;PALAU; 6?700?000 
9156498;Oil Tanker;1998;10298;15885;5298;GERMANY;MACOSNAR;NON IACS;PANAMA; 4?850?000 
9689031;Oil Tanker;2018;13222;19900;4500;CHINA;CCS;IACS;Liberia;14278680
9299446;Oil Tanker;2005;19758;29032;7248;CHINA;DNV;IACS;Liberia;12?000?000
9237008;Oil Tanker;2003;22184;34801;6100;CHINA;DNV;IACS;Liberia;8?400?000
9214745;Oil Tanker;2001;22184;34810;7859;CHINA;DNV;IACS;Liberia;4?800?000
9259927;Oil Tanker;2003;25651;37320;7986;SOUTH KOREA;DNV;IACS;Liberia;9?600?000
9233973;Oil Tanker;2002;27969;45763;9990;JAPAN;NKK ;IACS;COOK ISLANDS; 14?000?000 
9254862;Oil Tanker;2003;41679;70142;13548;SOUTH KOREA;DNV;IACS;Liberia;9?600?000
9254850;Oil Tanker;2003;41679;70142;13549;SOUTH KOREA;DNV;IACS;Liberia;9?600?000
9256248;Oil Tanker;2003;40763;72344;11300;CHINA;DNV;IACS;Liberia;9?600?000
9273260;Oil Tanker;2003;41503;72718;12268;SOUTH KOREA;DNV;IACS;Liberia;12?800?000
9297905;Oil Tanker;2005;81396;158344;18660;SOUTH KOREA;DNV;IACS;Liberia;26?400?000
9271896;Oil Tanker;2004;11548;15999;6200;CHINA;BV;IACS;PANAMA; 7?450?000 
9300829;Oil Tanker;2005;9993;14825;6300;CHINA;TURK LLOYD;NON IACS;BARBADOS; 8?050?000 
9444821;Oil Tanker;2008;2962;4569;2200;CHINA;IRS;IACS;PALAU; 3?000?000 
1036111;Oil Tanker;2025;4000;6418;3240;CHINA;BV;IACS;Saint Kitts & Nevis;12?000?000
9250737;Oil Tanker;2003;79668;151736;16858;SOUTH KOREA;LR;IACS;Panama;24400000
9270749;Oil Tanker;2003;28799;47999;9500;JAPAN;IRS;NON IACS;Barbados;13600000
9271573;Oil Tanker;2004;78896;142000;16400;JAPAN;LR;IACS;Panama;28080000
9272565;Oil Tanker;2003;4064;4500;2880;CHINA;CCS;IACS;Cook Island;3584544
1073884;OFFSHORE SUPPLY VESSEL;2025;984;447;2600;CHINA;BV;IACS;Saint Kitts & Nevis;6?000?000
8121276;OFFSHORE SUPPLY VESSEL;1980;1089;1082;3300;netherlands;ABS;IACS;UAE; 1?000?000 
9054951;OFFSHORE SUPPLY VESSEL;1992;806;541;1800;netherlands;LR ;IACS;UAE; 400?000 
1034498;MPP Bulk;2025;9956;13646;3570;JAPAN;ABS;IACS;PAN;14400000
1019149;LPG;2025;6446;6718;2640;JAPAN;ABS;IACS;PANAMA;23200000
1019137;LPG;2025;6446;6718;2640;JAPAN;ABS;IACS;PANAMA;23200000
9978004;LPG;2024;4277;5185;2647;JAPAN;NKK;IACS;PANAMA;16800000
9977983;LPG;2023;4277;5185;2647;JAPAN;NKK;IACS;PANAMA;16800000
9977995;LPG;2023;4277;5185;2647;JAPAN;NKK;IACS;PANAMA;16800000
9806720;LPG;2018;5851;6405;4550;JAPAN;NKK;IACS;PANAMA;15200000
9806732;LPG;2018;5848;6407;4550;japan;NKK;IACS;PANAMA;16000000
9774898;LPG;2016;5849;6420;4550;JAPAN;NKK;IACS;PANAMA;14400000
9707182;LPG;2015;4749;5172;2850;JAPAN;NKK;IACS;PAN;14400000
9707194;LPG;2015;4749;5172;2850;JAPAN;NKK;IACS;PRT;14400000
9697492;LPG;2014;4292;5011;2750;JAPAN;ABS;IACS;MHL;12800000
9697507;LPG;2014;4292;4996;2750;JAPAN;ABS;IACS;MHL;12800000
9699244;LPG;2014;4256;4752;3250;JAPAN;NKK;IACS;PANAMA;9600000
